nbrhd,One_Person_Households,Adults_Non_English_Speaking,Births_to_Teen_Mothers_19_and_under,Births_to_Unwed_Mothers,Births_to_Women_With_Less_Than_12th_Grade_Education,Children_Living_with_Single_Parents,Families_with_Children,Families_without_Children,Foreign_Born,Households,Households_with_Income_more_than_USD_125000,Households_with_Income_less_than_USD_60000,Households_with_Income_USD_60000_to_USD_124999,Housing_Units,Housing_Vacancy,Multi_Family_Units,Overcrowded_housing_units,Persons_Age_25_with_College_Degree_Associates_or_Better,Persons_age_25_with_high_school_only_education,Persons_age_25_with_less_than_12th_grade_education,Persons_age_25_with_some_college_but_no_degree,Persons_in_Poverty,Persons_per_Household,Population_18_24,Population_25_34,Population_35_44,Population_45_54,Population_5_17,Population_55_64,Population_African_American,Population_Asian_per_Pacific_Islander,Population_Latino,Population_Native_American,Population_Non_Latino,Population_Non_Latino_White,Population_Other_Race_Single_Race_Selected,Population_White,Population_of_2_or_More_Races,Population_over_65,Population_under_5,Renters_Spending_More_Than_30Percent_of_Income_on_Housing,Single_Family_Units,Single_Mothers_with_Children_in_Poverty,Total_Population,Unemployed_in_Civilian_Labor_Force,Births_African_American,Births_Asian_per_Pacific_Islander,Births_Latino,Births_Native_American,Births_Non_Latino_White,Births_Other_Race,Crime Incidents
cheesman-park,2912,14,0,12,0,262,331,1041,709,5254,675,2695,1884,5739,485,4981,72,5610,396,236,1430,1163,1.61,438,3167,1164,740,281,1195,310,279,713,65,7890,7111,79,7688,182,1406,212,1367,758,62,8603,320,4,0,4,0,46,0,7451
cherry-creek,2159,121,0,6,0,298,461,1122,836,4145,1772,1610,763,4437,292,2597,0,4393,464,226,566,564,1.61,403,1064,875,866,390,1181,94,208,411,0,6277,5872,49,6113,224,1663,246,911,1823,34,6688,213,0,0,3,0,37,0,5961
cherry-creek-reservoir,1483,111,0,18,8,542,1980,1912,1441,5604,2065,1890,1649,5737,133,1690,67,6859,968,185,1702,622,2.6,1138,1805,1756,2196,3118,2149,859,837,1178,11,13441,11211,235,11995,682,1808,649,681,4047,55,14619,323,10,16,29,0,73,3,
cherry-hills-village-area,245,8,0,0,0,222,943,969,338,2173,1564,376,233,2324,151,19,0,3562,292,29,358,158,2.95,263,121,579,1213,1679,1127,96,213,146,38,6268,5741,26,5859,182,1201,231,16,2305,19,6414,107,0,0,3,0,31,0,
city-hall,583,19,0,8,0,78,161,200,219,1180,53,751,376,1263,83,1125,26,697,311,31,438,375,1.81,412,703,319,190,149,68,40,104,207,29,1927,1653,23,1833,105,197,96,590,138,0,2134,35,0,0,3,0,20,0,
city-park,943,26,0,3,0,119,193,340,211,1846,379,932,535,1919,73,1570,32,2095,185,90,525,466,1.76,184,1273,587,266,160,346,272,115,323,6,3071,2646,11,2926,64,423,155,573,349,16,3394,118,3,0,4,0,25,0,2655
city-park-west,1503,46,0,14,4,285,336,334,302,2635,404,1638,593,2833,198,1996,20,2420,557,445,574,1204,1.73,387,1850,708,347,303,549,779,129,788,17,4106,3008,181,3567,221,542,208,733,827,76,4894,181,13,0,6,0,30,0,6316
civic-center,744,0,0,7,0,0,37,361,193,1256,404,441,411,1452,196,1414,17,1235,171,24,351,198,1.53,100,519,377,252,0,443,112,63,128,0,1790,1601,35,1684,24,190,37,366,38,0,1918,41,3,0,3,0,10,0,11918
clark-centennial-park,4074,2274,39,141,70,3601,4564,4342,5807,14124,1402,8051,4671,14567,443,4539,638,8053,5861,4547,5631,6778,2.59,3668,5443,4695,4685,6435,4231,494,656,14058,678,23023,21193,2822,31173,1258,5038,2886,3700,9634,576,37081,1545,3,12,228,3,214,12,
clayton,529,424,4,16,13,462,499,423,970,1622,103,1051,468,1699,77,279,53,955,651,860,510,972,2.8,501,728,772,620,852,452,1076,66,1903,42,2691,1462,371,2926,113,404,265,451,1420,79,4594,118,17,0,27,0,24,3,3536
clement-park,324,8,0,0,0,13,198,474,120,1042,244,428,370,1083,41,239,0,844,379,50,573,33,2.25,66,164,263,302,367,395,0,29,358,8,1988,1943,56,2213,40,722,67,233,837,0,2346,28,0,0,0,0,19,0,
clubcrest,373,28,0,5,4,235,478,735,170,1685,331,641,713,1685,0,387,0,1595,628,77,757,123,2.47,225,682,492,677,589,515,0,32,321,12,3855,3729,10,3965,157,691,305,181,1298,10,4176,79,0,0,4,0,37,0,
cole,497,417,5,22,10,652,591,296,980,1704,192,1026,486,1866,162,584,80,1084,638,839,600,1195,2.66,168,1136,915,475,986,364,734,32,2137,3,2412,1538,589,3008,183,271,234,454,1282,117,4549,163,6,0,34,0,35,0,4223
college-view,654,1413,17,33,30,1376,1015,488,2847,2328,88,1809,431,2343,15,998,261,495,1353,1921,728,3409,3.4,903,1309,1074,1126,1926,542,256,442,6029,0,1896,1278,1320,5817,90,446,599,922,1265,288,7925,412,6,0,93,0,26,6,6337
congress-park,2872,28,0,11,0,250,967,1151,563,5965,1334,3103,1528,6176,211,3368,0,7026,594,160,1504,1293,1.91,847,3759,2173,1199,747,1150,547,158,1191,61,10302,9325,216,9976,535,1003,615,1325,2799,24,11493,283,0,6,9,0,111,0,5674
conservatory,195,280,0,11,0,27,440,548,656,1205,320,194,691,1220,15,25,9,1323,493,283,421,181,2.91,210,589,506,623,571,462,392,649,534,25,2967,1715,309,2056,70,340,200,60,1195,0,3501,42,8,6,23,0,30,4,
continental-divide-raceway-dawson-butte-and-true-mountain,519,71,0,13,3,193,1173,1809,681,3611,1664,823,1124,3709,98,207,23,3966,883,179,1687,368,2.63,616,642,1047,1762,1681,1830,94,135,653,43,8845,8382,28,8996,202,1434,486,177,3365,41,9498,202,0,0,16,0,73,6,
cory-merrill,434,0,0,7,0,313,688,537,107,1880,627,467,786,1920,40,73,0,2639,310,32,344,389,2.44,264,812,913,563,662,462,47,67,362,13,4321,4057,116,4332,108,575,432,117,1836,21,4683,115,0,5,3,0,70,0,2647
country-club,403,14,0,0,0,88,378,440,171,1343,746,253,344,1407,64,162,9,2081,45,19,144,92,2.32,177,299,457,454,450,509,0,53,131,51,2991,2793,0,2913,105,570,206,47,1218,0,3122,33,0,0,0,0,26,0,1239
cu-east-campus,181,9,0,0,0,39,84,167,400,740,24,540,176,783,43,651,12,614,37,0,91,683,2.34,889,438,109,63,57,89,0,238,100,28,1639,1289,71,1354,48,43,51,447,126,0,1739,30,0,8,3,0,6,0,
cu-main-campus,246,206,0,0,0,18,143,96,1621,729,48,496,185,760,31,712,43,1186,0,20,32,571,2.2,5474,702,393,52,161,77,98,1441,668,27,6314,4620,65,5196,155,14,109,412,48,5,6982,362,0,20,0,0,13,0,
deer-creek-canyon-park-and-james-q-newton-park,150,22,0,0,0,208,612,494,133,1328,787,205,336,1386,58,31,10,1843,248,0,502,21,2.91,172,300,573,670,870,663,0,173,107,0,3756,3509,9,3616,65,387,228,27,1355,0,3863,119,0,4,4,0,17,0,
dekoevend-park,1338,283,0,21,0,972,1397,1719,958,4700,1004,2016,1680,4890,190,1027,48,4394,1682,332,2201,999,2.55,717,1307,1636,1907,2246,1555,58,346,1312,40,10732,10100,162,11041,397,2204,472,454,3847,67,12044,368,0,5,18,0,90,4,
delmar-parkway-jewell-heights-and-hoffman-heights,1793,4032,43,137,133,3001,3189,1740,8449,7565,245,5582,1738,8049,484,2980,763,2927,4702,4282,2722,5776,3.16,2150,4319,3470,2939,5210,2270,3129,1517,13323,281,10656,5486,4741,13194,1117,1635,1986,2702,5028,417,23979,909,68,51,248,5,67,26,
denver-airport,263,13,0,6,0,174,223,92,118,610,36,382,192,653,43,245,34,358,220,69,230,175,2.38,120,315,281,147,206,66,549,7,357,7,1092,470,17,702,167,68,246,82,401,21,1449,35,7,0,16,0,5,0,6979
derby-southeast-thornton-and-southwest-commerce-city,380,1389,21,63,51,1546,1494,615,2694,2696,184,1736,776,2767,71,207,362,549,2033,2517,964,3024,3.9,925,1691,1451,1011,2863,1086,393,72,7367,139,3501,2831,769,9128,367,824,1017,547,1989,283,10868,440,4,0,130,0,36,6,
dover-square-park,845,17,0,14,0,294,413,443,337,2242,163,1290,789,2344,102,1619,42,1487,669,143,762,495,2.05,884,1176,539,505,481,379,172,162,672,13,3935,3442,37,4016,207,462,181,571,725,41,4607,103,0,0,12,0,37,0,
east-arapaphoe,495,57,0,9,0,115,710,1062,191,2399,531,876,992,2594,195,58,64,1556,1700,322,1317,393,2.77,328,583,693,1484,1122,1121,46,39,600,70,6044,5692,158,6068,263,1014,299,115,2279,13,6644,135,0,0,7,0,55,0,
